Task ID,Project ID,Task Name,Task Status,Assigned To,Hours Spent,Estimated_Hours,Complexity_Score,Depends_On_Task,Task_Due_Date,Progress
T001,P001,Task 001 of Renovation of a School Project 001,In Progress,Bob,12,11,10,None,27/07/2024,0.24
T002,P001,Task 002 of Renovation of a School Project 001,In Progress,Charlie,4,4,9,T001,29/07/2024,0.56
T003,P001,Task 003 of Renovation of a School Project 001,Completed,Charlie,5,6,5,T002,27/07/2024,1.0
T001,P002,Task 001 of Innovation of a Classroom Project 002,Pending,Charlie,24,25,9,None,29/06/2025,0.33
T002,P002,Task 002 of Innovation of a Classroom Project 002,Pending,Charlie,26,32,2,T001,23/06/2025,0.32
T003,P002,Task 003 of Innovation of a Classroom Project 002,In Progress,Alice,28,28,2,None,16/03/2025,0.29
T001,P003,Task 001 of Construction of a Hospital Wing Project 003,Completed,Grace,7,5,1,None,20/08/2024,1.0
T002,P003,Task 002 of Construction of a Hospital Wing Project 003,Completed,Frank,23,21,10,None,18/09/2024,1.0
T003,P003,Task 003 of Construction of a Hospital Wing Project 003,Completed,Grace,13,11,5,T002,19/08/2024,1.0
T001,P004,Task 001 of Road Expansion Project 004,Completed,Frank,28,36,5,None,27/04/2024,1.0
T002,P004,Task 002 of Road Expansion Project 004,In Progress,Charlie,26,33,1,T001,01/05/2024,0.99
T003,P004,Task 003 of Road Expansion Project 004,Pending,Charlie,18,14,7,T002,05/05/2024,0.74
T001,P005,Task 001 of Bridge Maintenance Project 005,Pending,Charlie,18,19,3,None,27/07/2025,0.78
T002,P005,Task 002 of Bridge Maintenance Project 005,Completed,Frank,7,5,1,None,26/07/2024,1.0
T003,P005,Task 003 of Bridge Maintenance Project 005,Pending,Grace,0,1,4,T002,18/06/2025,0.04
T001,P006,Task 001 of Office Building Renovation Project 006,Completed,Alice,9,7,2,None,08/09/2024,1.0
T002,P006,Task 002 of Office Building Renovation Project 006,Completed,Frank,40,46,7,T001,07/09/2024,1.0
T003,P006,Task 003 of Office Building Renovation Project 006,In Progress,Charlie,40,50,4,None,14/02/2025,0.07
T001,P007,Task 001 of Apartment Complex Development Project 007,Pending,Ivy,32,28,9,None,08/11/2024,0.62
T002,P007,Task 002 of Apartment Complex Development Project 007,Pending,Grace,25,19,3,None,28/11/2024,0.85
T003,P007,Task 003 of Apartment Complex Development Project 007,Pending,Ivy,10,11,1,None,05/11/2024,0.92
T001,P008,Task 001 of Commercial Center Construction Project 008,Pending,Alice,17,21,2,None,12/09/2024,0.59
T002,P008,Task 002 of Commercial Center Construction Project 008,Pending,Charlie,21,21,10,None,22/10/2024,0.26
T003,P008,Task 003 of Commercial Center Construction Project 008,Pending,Charlie,7,6,10,T002,12/10/2024,0.45
T001,P009,Task 001 of Highway Reconstruction Project 009,Pending,Charlie,35,43,2,None,27/04/2025,0.36
